08/13/24 12:52:00 Training initiated with the following parameters:
Model Parameters: (('in_channels', 1), ('hidden_channels', 32), ('out_channels', 64), ('conv_kernel_size', 5), ('pool_kernel_size', 2), ('pool_stride', 2), ('dropout', 0.5), ('leak', 0.4), ('input_size', 8192))

08/13/24 12:52:01 (0m 00s) | [1/20] Batch 0 (0.680s) | LR: 0.0001 | Loss: 1.3757 | Abs. Loss: 1.38
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 1 (0.013s) | LR: 0.0001 | Loss: 1.7915 | Abs. Loss: 3.17
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 2 (0.020s) | LR: 0.0001 | Loss: 1.2929 | Abs. Loss: 4.46
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 3 (0.021s) | LR: 0.0001 | Loss: 1.3469 | Abs. Loss: 5.81
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 4 (0.018s) | LR: 0.0001 | Loss: 1.2791 | Abs. Loss: 7.09
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 5 (0.019s) | LR: 0.0001 | Loss: 1.2630 | Abs. Loss: 8.35
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 6 (0.020s) | LR: 0.0001 | Loss: 1.2829 | Abs. Loss: 9.63
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 7 (0.017s) | LR: 0.0001 | Loss: 1.4278 | Abs. Loss: 11.06
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 8 (0.018s) | LR: 0.0001 | Loss: 1.2339 | Abs. Loss: 12.29
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 9 (0.018s) | LR: 0.0001 | Loss: 1.3196 | Abs. Loss: 13.61
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 10 (0.033s) | LR: 0.0001 | Loss: 1.3756 | Abs. Loss: 14.99
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 11 (0.017s) | LR: 0.0001 | Loss: 1.2919 | Abs. Loss: 16.28
